x1,x2,przystosowanie,przystosowanie sigma-odcięcie,przystosowanie boltzmann,selekcja bez skalowania,selekcja sigma-odcięcie,selekcja boltzmann
0.9298239955418142,-0.4983655977914505,3724.2350051412473,958.7562754563992,1717.2337844085177,3724.2350051412473,3724.2350051412473,3724.2350051412473
-1.3809658442144563,-1.7271209156170553,2583.599066073406,0,175.42263721807115,3861.0555569704447,3861.0555569704447,3861.0555569704447
-1.854027249089737,-0.060967094175223835,2677.985373179599,0,211.8695481502055,3455.1289003048614,3841.1603068102536,3841.1603068102536
1.0496116670884583,0.40209919077550893,3861.0555569704447,1095.5768272855967,2257.7208589798,3841.1603068102536,3888.354322030456,3888.354322030456
1.8978255274688718,-1.748121343593287,1047.0904158002218,0,8.118787591228328,3888.354322030456,3718.8381264387335,3718.8381264387335
0.9404513528677936,-1.2483136720389192,3455.1289003048614,689.6501706200133,1002.5056555485239,3476.722059723063,3904.8055777056015,3904.8055777056015
0.19774757270841103,-0.786705102042174,3841.1603068102536,1075.6815771254055,2169.648850991124,3718.8381264387335,3873.6502200669925,3873.6502200669925
-0.004309209434846917,0.45429866989997114,3888.354322030456,1122.8755923456079,2384.413936179506,3904.8055777056015,3906.0418684271044,3906.0418684271044
-1.5194332221249816,-1.2193600794694657,2658.947669505396,0,203.95417556151494,3873.6502200669925,3597.6557999152196,3909.0623533881767
-2.0291718369841747,-0.2817932805704495,1965.4122436788937,0,50.94896713622658,3906.0418684271044,3640.215063277223,3901.066932686626
1.2632088045882521,-0.4856700416426756,3476.722059723063,711.2433300382149,1046.7486544528044,3597.6557999152196,3575.450402601326,3847.5274399215223
-1.72315149858722,1.613720491792341,3718.8381264387335,953.3593967538854,1698.7980539209855,3640.215063277223,3909.0623533881767,3797.4958802226697
1.1870411274937305,-1.5852020530105675,3013.400516003475,247.9217863186268,414.38729513071866,3575.450402601326,3901.066932686626,3864.350065071105
-1.2733452630751216,1.6376327111475528,3904.8055777056015,1139.3268480207535,2464.172068994986,3909.0623533881767,3659.7012253519924,3779.4669841974132
1.4118188744566686,1.3917328655469272,3873.6502200669925,1108.1714903821444,2315.3136426602746,3901.066932686626,3847.5274399215223,3836.5333978242575
0.9585159705795214,0.7198455847374161,3906.0418684271044,1140.5631387422563,2470.272473891144,3659.7012253519924,3797.4958802226697,3802.7533441977084
1.9047665407177563,1.863126799612738,3597.6557999152196,832.1770702303716,1333.165675070563,3847.5274399215223,3864.350065071105,3716.7524604618084
-0.2314602299414119,1.6914640737589073,3640.215063277223,874.7363335923751,1451.6122678363035,3797.4958802226697,3779.4669841974132,3680.9038564571647
-0.010436082076053843,-1.8261676727276273,3575.450402601326,809.9716729164779,1275.2541935385057,3864.350065071105,3836.5333978242575,3685.858440556693
1.266710322731662,1.6976416796159848,3909.0623533881767,1143.5836237033286,2485.240480725637,3779.4669841974132,3802.7533441977084,3874.360041142863
